,label
DATA.1290809,resistant
DATA.909974,resistant
DATA.907319,resistant
DATA.753569,resistant
DATA.1297447,resistant
DATA.906847,resistant
DATA.687997,resistant
DATA.1298151,resistant
DATA.924106,resistant
DATA.753562,resistant
DATA.909716,resistant
DATA.1298168,resistant
DATA.909749,resistant
DATA.907298,resistant
DATA.910695,resistant
DATA.906865,resistant
DATA.906848,resistant
DATA.905964,resistant
DATA.907073,resistant
DATA.1327771,resistant
DATA.753573,resistant
DATA.713880,resistant
DATA.753558,resistant
DATA.910910,resistant
DATA.909779,resistant
ACH-000281,resistant
ACH-000133,resistant
DATA.1503370,resistant
DATA.908473,resistant
DATA.910692,resistant
DATA.949178,resistant
DATA.946357,resistant
DATA.1298141,resistant
DATA.907787,resistant
DATA.906843,resistant
DATA.907286,resistant
DATA.687448,resistant
DATA.753615,resistant
DATA.1240123,resistant
DATA.905968,resistant
DATA.905973,resistant
DATA.688021,resistant
DATA.905977,resistant
DATA.910935,resistant
DATA.1240122,resistant
DATA.908158,resistant
DATA.907170,resistant
DATA.1331050,resistant
DATA.724855,resistant
DATA.1298136,resistant
DATA.909702,resistant
DATA.905949,resistant
DATA.907320,resistant
ACH-000313,resistant
DATA.908156,resistant
ACH-000454,resistant
DATA.1298476,resistant
DATA.907060,resistant
DATA.1290906,resistant
DATA.908461,resistant
DATA.910922,resistant
DATA.1295740,resistant
DATA.907274,resistant
DATA.905989,resistant
DATA.909747,resistant
ACH-000477,resistant
DATA.949172,resistant
DATA.910921,resistant
DATA.909785,resistant
DATA.909731,resistant
DATA.1327774,resistant
DATA.1660036,resistant
DATA.949177,resistant
DATA.909263,resistant
ACH-000265,resistant
DATA.906828,resistant
DATA.1298534,resistant
DATA.905980,resistant
DATA.909699,resistant
DATA.907794,resistant
DATA.905979,resistant
DATA.908472,resistant
DATA.1240132,resistant
DATA.1298146,resistant
DATA.1290806,resistant
DATA.906831,resistant
DATA.1240196,resistant
DATA.909717,resistant
DATA.1240144,resistant
DATA.1503367,resistant
DATA.907068,resistant
DATA.909748,resistant
DATA.753552,resistant
DATA.908471,resistant
DATA.905956,resistant
ACH-000758,resistant
ACH-000159,resistant
DATA.908136,resistant
DATA.907061,resistant
DATA.946368,resistant
DATA.1299050,resistant
DATA.906696,resistant
DATA.1303912,resistant
DATA.1240184,resistant
DATA.1295741,resistant
DATA.905965,resistant
DATA.905933,resistant
DATA.909746,resistant
DATA.687800,resistant
DATA.909773,resistant
DATA.1298347,resistant
DATA.1290813,resistant
DATA.910937,resistant
DATA.949161,resistant
ACH-000484,resistant
DATA.1524416,resistant
ACH-000270,resistant
DATA.1330987,resistant
DATA.687812,resistant
DATA.907042,resistant
DATA.1299059,resistant
DATA.1290908,resistant
DATA.909750,resistant
DATA.946361,resistant
DATA.909249,resistant
DATA.907066,resistant
DATA.908138,resistant
ACH-000759,resistant
DATA.905962,resistant
DATA.906999,resistant
DATA.753589,resistant
DATA.1322224,resistant
DATA.753539,resistant
DATA.910784,resistant
DATA.908132,resistant
DATA.909707,resistant
DATA.1298529,resistant
DATA.909250,resistant
ACH-000391,sensitive
ACH-000593,sensitive
ACH-000118,sensitive
ACH-000833,sensitive
ACH-000549,sensitive
DATA.907048,sensitive
ACH-000649,sensitive
ACH-000274,sensitive
ACH-000694,sensitive
ACH-000504,sensitive
ACH-000959,sensitive
ACH-000988,sensitive
ACH-000647,sensitive
ACH-000667,sensitive
ACH-000792,sensitive
ACH-000096,sensitive
ACH-000012,sensitive
DATA.906851,sensitive
ACH-000449,sensitive
ACH-000595,sensitive
ACH-000778,sensitive
ACH-000201,sensitive
ACH-000661,sensitive
ACH-000469,sensitive
ACH-000766,sensitive
ACH-000835,sensitive
ACH-000628,sensitive
ACH-000026,sensitive
ACH-000808,sensitive
ACH-000587,sensitive
ACH-000909,sensitive
ACH-000919,sensitive
ACH-001145,sensitive
ACH-000054,sensitive
DATA.905946,sensitive
ACH-000716,sensitive
ACH-000916,sensitive
ACH-000832,sensitive
ACH-000954,sensitive
ACH-000991,sensitive
ACH-000984,sensitive
ACH-000476,sensitive
ACH-000947,sensitive
ACH-000893,sensitive
ACH-000666,sensitive
ACH-000138,sensitive
ACH-000209,sensitive
ACH-000756,sensitive
ACH-000015,sensitive
ACH-000356,sensitive
DATA.906862,sensitive
ACH-000891,sensitive
ACH-000837,sensitive
ACH-000421,sensitive
ACH-000826,sensitive
ACH-000098,sensitive
ACH-000008,sensitive
ACH-000579,sensitive
ACH-000401,sensitive
ACH-000503,sensitive
ACH-000278,sensitive
DATA.1290922,sensitive
ACH-000318,sensitive
ACH-000312,sensitive
ACH-000137,sensitive
ACH-000955,sensitive
ACH-000161,sensitive
ACH-000174,sensitive
ACH-000423,sensitive
ACH-000679,sensitive
ACH-000810,sensitive
ACH-000957,sensitive
ACH-000845,sensitive
DATA.749709,sensitive
ACH-000603,sensitive
ACH-000971,sensitive
ACH-000066,sensitive
ACH-000589,sensitive
ACH-000268,sensitive
ACH-000242,sensitive
ACH-000428,sensitive
ACH-000592,sensitive
ACH-000713,sensitive
ACH-000738,sensitive
DATA.1298157,sensitive
ACH-000407,sensitive
ACH-000259,sensitive
ACH-000563,sensitive
ACH-000147,sensitive
ACH-000627,sensitive
ACH-000769,sensitive
ACH-000264,sensitive
ACH-000866,sensitive
ACH-000207,sensitive
ACH-000329,sensitive
ACH-000941,sensitive
ACH-000097,sensitive
DATA.949093,sensitive
ACH-000744,sensitive
ACH-000680,sensitive
ACH-000724,sensitive
ACH-000324,sensitive
ACH-000853,sensitive
ACH-000601,sensitive
ACH-000502,sensitive
ACH-000915,sensitive
ACH-000445,sensitive
ACH-000277,sensitive
ACH-000788,sensitive
ACH-000320,sensitive
ACH-000463,sensitive
ACH-000677,sensitive
ACH-000781,sensitive
ACH-000335,sensitive
ACH-000243,sensitive
ACH-000091,sensitive
ACH-000637,sensitive
ACH-000042,sensitive
ACH-000359,sensitive
ACH-000726,sensitive
ACH-000404,sensitive
ACH-000711,sensitive
ACH-000186,sensitive
ACH-000322,sensitive
ACH-000169,sensitive
ACH-000899,sensitive
ACH-000221,sensitive
DATA.925338,sensitive
ACH-000351,sensitive
ACH-000721,sensitive
ACH-000217,sensitive
ACH-000961,sensitive
ACH-000882,sensitive
ACH-000452,sensitive
ACH-000486,sensitive
ACH-000457,sensitive
ACH-000696,sensitive
ACH-001075,sensitive
ACH-000255,sensitive
ACH-000562,sensitive
